storefront,pf,storefront_id,tab,tab_id,page,section_index,section,section_id,section_ty,section_lo,iar,bg_style,card_source,card_index,card,card_id,card_ty,cty,cust_sc,source_url,request_url
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,1,Hero,A539003C-C19D-4407-8043-58F7C4F13DD1,Container,banner,0-16x9,{},direct_cd,1,Athiradi,CE6AE6F3-25D6-4819-9217-E4C1FEE1F43C,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,1,Hero,A539003C-C19D-4407-8043-58F7C4F13DD1,Container,banner,0-16x9,{},direct_cd,2,Madhuvidhu,81FE417B-B74A-4F5C-BDA0-9CC8C0546A15,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,1,Hero,A539003C-C19D-4407-8043-58F7C4F13DD1,Container,banner,0-16x9,{},direct_cd,3,Upcoming - India Tour Of Ireland,B4A585B8-5F53-4C42-938D-F67A9C8FE71C,,sporthighlight,sports,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,1,Hero,A539003C-C19D-4407-8043-58F7C4F13DD1,Container,banner,0-16x9,{},direct_cd,4,Taarak Mehta Ka Ooltah Chashmah,D623F5BC-953B-4DCC-B86D-492AB46D8B87,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,1,Hero,A539003C-C19D-4407-8043-58F7C4F13DD1,Container,banner,0-16x9,{},direct_cd,5,Indian Idol,F640FE19-13D6-4B1E-8DA8-AFEAE9937B7F,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,1,Tarakasur Ka Maya Jaal,547BF516-32C3-4018-9E35-1841A4266C53,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,2,Malti’s Silent Wish,535992CD-24D5-4408-B916-06FD4EDF9AB2,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,3,Mansopchar,3FCFD9F0-E0A5-414C-8034-A49AD6213C67,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,4,Dr. Abeer's Confession,0FD144C4-FB25-49E8-B36B-FCC185F2D3A0,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,5,Pitches For The Planet,3880569C-1EE0-466C-9FC1-3C937045B453,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,6,Remembering Aadesh Shrivastava,BBB62EB1-510A-479A-B985-817C9C9C6B32,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,7,Mama Shakuni Triggers Duryodhana,AD4D1FBE-AF3A-47CB-A8EF-F32A64633164,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,8,The Things That Men Do,73044870-A5DE-4888-BDF7-330A1C5051C5,,tvepisode,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,3,Must Watch,75367BAC-A963-4845-B6A7-A290C7BADA77,Container,carousel,0-2x3,{},direct_cd,9,Maharashtrachi Hasya Jatra Hasnya Cha Common Reason,DE6A3FF1-4B98-4670-83D6-45865F124E18,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
